Publication,Type,Method,Period,Revenue,Subscribers,Subscriptions,ARPU,Cancelations,Reason,Voluntary Churn,Involuntary Churn
All,All,All,2024-10-20,1286,1180,10620,1.0898305084745763,118,Expired CC,Yes,Yes
All,All,All,2024-10-21,1221,1513,12104,0.8070059484467944,151,Deaseaed,No,Yes
All,All,All,2024-10-22,1068,1328,1328,0.8042168674698795,132,Expired CC,Yes,No
All,All,All,2024-10-23,1370,296,2072,4.628378378378378,29,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1395,900,1800,1.55,90,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1412,660,3300,2.139393939393939,66,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1167,109,981,10.706422018348624,10,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1287,295,2065,4.36271186440678,29,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1112,1583,11081,0.7024636765634871,158,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1377,2532,12660,0.5438388625592417,253,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1039,397,1191,2.6171284634760705,39,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1435,2697,13485,0.5320726733407489,269,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1395,900,1800,1.55,90,Expired CC,Yes,No
All,All,All,2024-10-17,1412,660,3300,2.139393939393939,66,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1167,109,981,10.706422018348624,10,Expired CC,No,Yes
All,All,All,2024-10-19,1287,295,2065,4.36271186440678,29,Deaseaed,Yes,No
All,All,All,2024-10-20,1112,1583,11081,0.7024636765634871,158,Expired CC,Yes,Yes
All,All,All,2024-10-21,1377,2532,12660,0.5438388625592417,253,Deaseaed,No,Yes
All,All,All,2024-10-22,1039,397,1191,2.6171284634760705,39,Expired CC,Yes,No
All,All,All,2024-10-23,1435,2697,13485,0.5320726733407489,269,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1476,1065,4260,1.3859154929577464,106,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1140,2695,16170,0.4230055658627087,269,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1205,1762,10572,0.6838819523269013,176,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1081,1588,6352,0.6807304785894207,158,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1296,2686,21488,0.4825018615040953,268,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1117,2790,8370,0.4003584229390681,279,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1433,2415,2415,0.5933747412008281,241,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1082,380,1900,2.8473684210526318,38,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1476,1065,4260,1.3859154929577464,106,Expired CC,Yes,No
All,All,All,2024-10-17,1140,2695,16170,0.4230055658627087,269,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1205,1762,10572,0.6838819523269013,176,Expired CC,No,Yes
All,All,All,2024-10-19,1081,1588,6352,0.6807304785894207,158,Deaseaed,Yes,No
All,All,All,2024-10-20,1296,2686,21488,0.4825018615040953,268,Expired CC,Yes,Yes
All,All,All,2024-10-21,1117,2790,8370,0.4003584229390681,279,Deaseaed,No,Yes
All,All,All,2024-10-22,1433,2415,2415,0.5933747412008281,241,Expired CC,Yes,No
All,All,All,2024-10-23,1082,380,1900,2.8473684210526318,38,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1349,1684,10104,0.8010688836104513,168,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1142,2045,6135,0.5584352078239608,204,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1477,2190,13140,0.6744292237442923,219,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1129,1020,9180,1.1068627450980393,102,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1423,1439,7195,0.9888811674774148,143,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1342,2459,14754,0.5457503050020334,245,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1272,1120,8960,1.1357142857142857,112,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1411,2519,7557,0.5601429138547043,251,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1349,1684,10104,0.8010688836104513,168,Expired CC,Yes,No
All,All,All,2024-10-17,1142,2045,6135,0.5584352078239608,204,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1477,2190,13140,0.6744292237442923,219,Expired CC,No,Yes
All,All,All,2024-10-19,1129,1020,9180,1.1068627450980393,102,Deaseaed,Yes,No
All,All,All,2024-10-20,1423,1439,7195,0.9888811674774148,143,Expired CC,Yes,Yes
All,All,All,2024-10-21,1342,2459,14754,0.5457503050020334,245,Deaseaed,No,Yes
All,All,All,2024-10-22,1272,1120,8960,1.1357142857142857,112,Expired CC,Yes,No
All,All,All,2024-10-23,1411,2519,7557,0.5601429138547043,251,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1300,2329,13974,0.55817947617003,232,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1000,1883,9415,0.5310674455655868,188,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1465,118,1180,12.415254237288135,11,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1469,2179,6537,0.6741624598439652,217,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1223,723,6507,1.6915629322268326,72,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1093,2513,22617,0.4349383207321926,251,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1203,1196,7176,1.0058528428093645,119,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1373,2182,10910,0.6292392300641613,218,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1300,2329,13974,0.55817947617003,232,Expired CC,Yes,No
All,All,All,2024-10-17,1000,1883,9415,0.5310674455655868,188,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1465,118,1180,12.415254237288135,11,Expired CC,No,Yes
All,All,All,2024-10-19,1469,2179,6537,0.6741624598439652,217,Deaseaed,Yes,No
All,All,All,2024-10-20,1223,723,6507,1.6915629322268326,72,Expired CC,Yes,Yes
All,All,All,2024-10-21,1093,2513,22617,0.4349383207321926,251,Deaseaed,No,Yes
All,All,All,2024-10-22,1203,1196,7176,1.0058528428093645,119,Expired CC,Yes,No
All,All,All,2024-10-23,1373,2182,10910,0.6292392300641613,218,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1288,149,149,8.644295302013424,14,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1311,2923,23384,0.4485118029421827,292,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1270,387,1935,3.2816537467700257,38,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1287,2127,17016,0.6050775740479548,212,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1363,2152,12912,0.633364312267658,215,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1474,2730,2730,0.5399267399267399,273,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1399,2037,12222,0.6867943053510064,203,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1102,1656,1656,0.6654589371980676,165,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1288,149,149,8.644295302013424,14,Expired CC,Yes,No
All,All,All,2024-10-17,1311,2923,23384,0.4485118029421827,292,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1270,387,1935,3.2816537467700257,38,Expired CC,No,Yes
All,All,All,2024-10-19,1287,2127,17016,0.6050775740479548,212,Deaseaed,Yes,No
All,All,All,2024-10-20,1363,2152,12912,0.633364312267658,215,Expired CC,Yes,Yes
All,All,All,2024-10-21,1474,2730,2730,0.5399267399267399,273,Deaseaed,No,Yes
All,All,All,2024-10-22,1399,2037,12222,0.6867943053510064,203,Expired CC,Yes,No
All,All,All,2024-10-23,1102,1656,1656,0.6654589371980676,165,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1269,183,915,6.934426229508197,18,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1372,461,3688,2.9761388286334056,46,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1034,1193,1193,0.8667225481978206,119,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1362,2711,21688,0.5023976392475101,271,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1358,2917,5834,0.46554679465203974,291,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1082,1158,1158,0.9343696027633851,115,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1235,806,5642,1.532258064516129,80,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1136,2205,11025,0.5151927437641723,220,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1269,183,915,6.934426229508197,18,Expired CC,Yes,No
All,All,All,2024-10-17,1372,461,3688,2.9761388286334056,46,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1034,1193,1193,0.8667225481978206,119,Expired CC,No,Yes
All,All,All,2024-10-19,1362,2711,21688,0.5023976392475101,271,Deaseaed,Yes,No
All,All,All,2024-10-20,1358,2917,5834,0.46554679465203974,291,Expired CC,Yes,Yes
All,All,All,2024-10-21,1082,1158,1158,0.9343696027633851,115,Deaseaed,No,Yes
All,All,All,2024-10-22,1235,806,5642,1.532258064516129,80,Expired CC,Yes,No
All,All,All,2024-10-23,1136,2205,11025,0.5151927437641723,220,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1484,996,8964,1.4899598393574298,99,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1194,1737,15633,0.687392055267703,173,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1310,663,1326,1.9758672699849171,66,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1081,485,2425,2.2288659793814434,48,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1227,1967,5901,0.6237925775292323,196,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1257,2201,6603,0.5711040436165379,220,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1390,424,2968,3.2783018867924527,42,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1344,342,2394,3.9298245614035086,34,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1484,996,8964,1.4899598393574298,99,Expired CC,Yes,No
All,All,All,2024-10-17,1194,1737,15633,0.687392055267703,173,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1310,663,1326,1.9758672699849171,66,Expired CC,No,Yes
All,All,All,2024-10-19,1081,485,2425,2.2288659793814434,48,Deaseaed,Yes,No
All,All,All,2024-10-20,1227,1967,5901,0.6237925775292323,196,Expired CC,Yes,Yes
All,All,All,2024-10-21,1257,2201,6603,0.5711040436165379,220,Deaseaed,No,Yes
All,All,All,2024-10-22,1390,424,2968,3.2783018867924527,42,Expired CC,Yes,No
All,All,All,2024-10-23,1344,342,2394,3.9298245614035086,34,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1104,1524,3048,0.7244094488188977,152,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1449,1067,1067,1.3580131208997188,106,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1023,2776,13880,0.3685158501440922,277,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1198,986,9860,1.2150101419878296,98,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1079,2856,2856,0.37780112044817926,285,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1384,905,8145,1.529281767955801,90,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1103,1655,1655,0.6664652567975831,165,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1463,307,1228,4.765472312703583,30,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1104,1524,3048,0.7244094488188977,152,Expired CC,Yes,No
All,All,All,2024-10-17,1449,1067,1067,1.3580131208997188,106,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1023,2776,13880,0.3685158501440922,277,Expired CC,No,Yes
All,All,All,2024-10-19,1198,986,9860,1.2150101419878296,98,Deaseaed,Yes,No
All,All,All,2024-10-20,1079,2856,2856,0.37780112044817926,285,Expired CC,Yes,Yes
All,All,All,2024-10-21,1384,905,8145,1.529281767955801,90,Deaseaed,No,Yes
All,All,All,2024-10-22,1103,1655,1655,0.6664652567975831,165,Expired CC,Yes,No
All,All,All,2024-10-23,1463,307,1228,4.765472312703583,30,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1246,1233,8631,1.010543390105434,123,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1344,2119,12714,0.634261444077395,211,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1230,2553,20424,0.481786133960047,255,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1342,558,558,2.4050179211469533,55,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1267,634,4438,1.998422712933754,63,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1199,1165,2330,1.0291845493562233,116,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1324,2331,23310,0.567996567996568,233,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1138,1993,7972,0.5709984947315605,199,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1246,1233,8631,1.010543390105434,123,Expired CC,Yes,No
All,All,All,2024-10-17,1344,2119,12714,0.634261444077395,211,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1230,2553,20424,0.481786133960047,255,Expired CC,No,Yes
All,All,All,2024-10-19,1342,558,558,2.4050179211469533,55,Deaseaed,Yes,No
All,All,All,2024-10-20,1267,634,4438,1.998422712933754,63,Expired CC,Yes,Yes
All,All,All,2024-10-21,1199,1165,2330,1.0291845493562233,116,Deaseaed,No,Yes
All,All,All,2024-10-22,1324,2331,23310,0.567996567996568,233,Expired CC,Yes,No
All,All,All,2024-10-23,1138,1993,7972,0.5709984947315605,199,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1429,1508,6032,0.9476127320954907,150,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1446,1267,8869,1.1412786108918707,126,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1215,233,466,5.214592274678112,23,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1359,1333,11997,1.0195048762190548,133,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1348,2607,26070,0.5170694284618336,260,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1144,1000,2000,1.144,100,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1405,1306,2612,1.0758039816232772,130,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1495,2696,5392,0.5545252225519288,269,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1429,1508,6032,0.9476127320954907,150,Expired CC,Yes,No
All,All,All,2024-10-17,1446,1267,8869,1.1412786108918707,126,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1215,233,466,5.214592274678112,23,Expired CC,No,Yes
All,All,All,2024-10-19,1359,1333,11997,1.0195048762190548,133,Deaseaed,Yes,No
All,All,All,2024-10-20,1348,2607,26070,0.5170694284618336,260,Expired CC,Yes,Yes
All,All,All,2024-10-21,1144,1000,2000,1.144,100,Deaseaed,No,Yes
All,All,All,2024-10-22,1405,1306,2612,1.0758039816232772,130,Expired CC,Yes,No
All,All,All,2024-10-23,1495,2696,5392,0.5545252225519288,269,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1291,1290,3870,1.0007751937984497,129,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1072,2425,16975,0.4420618556701031,242,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1297,1248,9984,1.0392628205128205,124,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1411,1020,4080,1.3833333333333333,102,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1405,166,166,8.463855421686747,16,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1139,2579,18053,0.44164404808065144,257,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1443,1330,6650,1.0849624060150376,133,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1343,2082,2082,0.6450528338136408,208,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1291,1290,3870,1.0007751937984497,129,Expired CC,Yes,No
All,All,All,2024-10-17,1072,2425,16975,0.4420618556701031,242,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1297,1248,9984,1.0392628205128205,124,Expired CC,No,Yes
All,All,All,2024-10-19,1411,1020,4080,1.3833333333333333,102,Deaseaed,Yes,No
All,All,All,2024-10-20,1405,166,166,8.463855421686747,16,Expired CC,Yes,Yes
All,All,All,2024-10-21,1139,2579,18053,0.44164404808065144,257,Deaseaed,No,Yes
All,All,All,2024-10-22,1443,1330,6650,1.0849624060150376,133,Expired CC,Yes,No
All,All,All,2024-10-23,1343,2082,2082,0.6450528338136408,208,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1450,1496,11968,0.9692513368983957,149,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1497,1479,2958,1.0121703853955375,147,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1023,783,5481,1.3065134099616857,78,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1475,794,5558,1.8576826196473553,79,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1301,2684,13420,0.48472429210134127,268,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1119,1424,12816,0.785814606741573,142,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1336,2296,11480,0.5818815331010453,229,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1197,2227,2227,0.5374943870678042,222,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1450,1496,11968,0.9692513368983957,149,Expired CC,Yes,No
All,All,All,2024-10-17,1497,1479,2958,1.0121703853955375,147,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1023,783,5481,1.3065134099616857,78,Expired CC,No,Yes
All,All,All,2024-10-19,1475,794,5558,1.8576826196473553,79,Deaseaed,Yes,No
All,All,All,2024-10-20,1301,2684,13420,0.48472429210134127,268,Expired CC,Yes,Yes
All,All,All,2024-10-21,1119,1424,12816,0.785814606741573,142,Deaseaed,No,Yes
All,All,All,2024-10-22,1336,2296,11480,0.5818815331010453,229,Expired CC,Yes,No
All,All,All,2024-10-23,1197,2227,2227,0.5374943870678042,222,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1328,597,5373,2.224455611390285,59,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1179,2964,17784,0.3977732793522267,296,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1275,2646,2646,0.481859410430839,264,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1018,2102,18918,0.48430066603235017,210,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1054,1626,6504,0.6482164821648216,162,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1446,2364,7092,0.6116751269035533,236,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1413,2459,2459,0.5746238308255388,245,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1080,1386,4158,0.7792207792207793,138,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1328,597,5373,2.224455611390285,59,Expired CC,Yes,No
All,All,All,2024-10-17,1179,2964,17784,0.3977732793522267,296,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1275,2646,2646,0.481859410430839,264,Expired CC,No,Yes
All,All,All,2024-10-19,1018,2102,18918,0.48430066603235017,210,Deaseaed,Yes,No
All,All,All,2024-10-20,1054,1626,6504,0.6482164821648216,162,Expired CC,Yes,Yes
All,All,All,2024-10-21,1446,2364,7092,0.6116751269035533,236,Deaseaed,No,Yes
All,All,All,2024-10-22,1413,2459,2459,0.5746238308255388,245,Expired CC,Yes,No
All,All,All,2024-10-23,1080,1386,4158,0.7792207792207793,138,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1228,1081,3243,1.1359851988899168,108,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1262,379,1895,3.3298153034300793,37,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1387,2995,26955,0.4631051752921536,299,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1083,1032,4128,1.0494186046511629,103,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1399,2124,4248,0.658662900188324,212,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1010,534,1602,1.8913857677902621,53,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1198,2012,6036,0.595427435387674,201,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1450,1756,15804,0.8257403189066059,175,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1228,1081,3243,1.1359851988899168,108,Expired CC,Yes,No
All,All,All,2024-10-17,1262,379,1895,3.3298153034300793,37,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1387,2995,26955,0.4631051752921536,299,Expired CC,No,Yes
All,All,All,2024-10-19,1083,1032,4128,1.0494186046511629,103,Deaseaed,Yes,No
All,All,All,2024-10-20,1399,2124,4248,0.658662900188324,212,Expired CC,Yes,Yes
All,All,All,2024-10-21,1010,534,1602,1.8913857677902621,53,Deaseaed,No,Yes
All,All,All,2024-10-22,1198,2012,6036,0.595427435387674,201,Expired CC,Yes,No
All,All,All,2024-10-23,1450,1756,15804,0.8257403189066059,175,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1228,758,2274,1.6200527704485488,75,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1111,2055,14385,0.540632603406326,205,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1128,429,1716,2.629370629370629,42,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1059,2595,20760,0.40809248554913297,259,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1139,1113,10017,1.0233602875112309,111,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1054,905,5430,1.1646408839779006,90,Deaseaed,No,Yes
ST,Corporate,Digital,2024-10-16,1347,292,584,4.613013698630137,29,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1328,2254,9016,0.5891748003549245,225,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1425,1248,7488,1.1418269230769231,124,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1385,2524,15144,0.5487321711568938,252,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1155,1323,13230,0.873015873015873,132,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1338,2959,20713,0.4521797904697533,295,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1000,2855,17130,0.3502626970227671,285,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1326,139,973,9.53956834532374,13,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1347,292,584,4.613013698630137,29,Expired CC,Yes,No
All,All,All,2024-10-17,1328,2254,9016,0.5891748003549245,225,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1425,1248,7488,1.1418269230769231,124,Expired CC,No,Yes
All,All,All,2024-10-19,1385,2524,15144,0.5487321711568938,252,Deaseaed,Yes,No
All,All,All,2024-10-20,1155,1323,13230,0.873015873015873,132,Expired CC,Yes,Yes
All,All,All,2024-10-21,1338,2959,20713,0.4521797904697533,295,Deaseaed,No,Yes
All,All,All,2024-10-22,1000,2855,17130,0.3502626970227671,285,Expired CC,Yes,No
All,All,All,2024-10-23,1326,139,973,9.53956834532374,13,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1249,2039,10195,0.6125551741049534,203,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1390,2414,12070,0.575807787903894,241,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1037,2948,11792,0.35176390773405697,294,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1114,571,571,1.9509632224168125,57,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1494,688,4128,2.171511627906977,68,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1425,2460,14760,0.5792682926829268,246,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1468,2893,2893,0.5074317317663325,289,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1467,1634,13072,0.897796817625459,163,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1249,2039,10195,0.6125551741049534,203,Expired CC,Yes,No
All,All,All,2024-10-17,1390,2414,12070,0.575807787903894,241,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1037,2948,11792,0.35176390773405697,294,Expired CC,No,Yes
All,All,All,2024-10-19,1114,571,571,1.9509632224168125,57,Deaseaed,Yes,No
All,All,All,2024-10-20,1494,688,4128,2.171511627906977,68,Expired CC,Yes,Yes
All,All,All,2024-10-21,1425,2460,14760,0.5792682926829268,246,Deaseaed,No,Yes
All,All,All,2024-10-22,1468,2893,2893,0.5074317317663325,289,Expired CC,Yes,No
All,All,All,2024-10-23,1467,1634,13072,0.897796817625459,163,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1130,1556,15560,0.7262210796915167,155,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1184,1320,9240,0.896969696969697,132,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1460,1425,7125,1.024561403508772,142,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1331,1018,6108,1.3074656188605107,101,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1028,334,1336,3.0778443113772456,33,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1498,810,2430,1.8493827160493828,81,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1255,2775,19425,0.45225225225225224,277,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1041,1362,12258,0.76431718061674,136,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1130,1556,15560,0.7262210796915167,155,Expired CC,Yes,No
All,All,All,2024-10-17,1184,1320,9240,0.896969696969697,132,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1460,1425,7125,1.024561403508772,142,Expired CC,No,Yes
All,All,All,2024-10-19,1331,1018,6108,1.3074656188605107,101,Deaseaed,Yes,No
All,All,All,2024-10-20,1028,334,1336,3.0778443113772456,33,Expired CC,Yes,Yes
All,All,All,2024-10-21,1498,810,2430,1.8493827160493828,81,Deaseaed,No,Yes
All,All,All,2024-10-22,1255,2775,19425,0.45225225225225224,277,Expired CC,Yes,No
All,All,All,2024-10-23,1041,1362,12258,0.76431718061674,136,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1296,2381,2381,0.5443091138177236,238,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1342,1592,11144,0.842964824120603,159,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1328,336,672,3.9523809523809526,33,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1131,2826,28260,0.4002123142250531,282,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1127,205,410,5.4975609756097565,20,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1484,425,2550,3.491764705882353,42,Deaseaed,No,Yes
